Equipo,Acronimo,Estado
Arizona Diamondbacks,ARI,Arizona
Atlanta Braves,ATL,Georgia
Baltimore Orioles,BAL,Maryland
Boston Red Sox,BOS,Massachusetts
Chicago Cubs,CHC,Illinois
Chicago White Sox,CHW,Illinois
Cincinnati Reds,CIN,Ohio
Cleveland Guardians,CLE,Ohio
Colorado Rockies,COL,Colorado
Detroit Tigers,DET,Michigan
Houston Astros,HOU,Texas
Kansas City Royals,KC,Missouri
Los Angeles Angels,LAA,California
Los Angeles Dodgers,LAD,California
Miami Marlins,MIA,Florida
Milwaukee Brewers,MIL,Wisconsin
Minnesota Twins,MIN,Minnesota
New York Mets,NYM,New York
New York Yankees,NYY,New York
Oakland Athletics,OAK,California
Philadelphia Phillies,PHI,Pennsylvania
Pittsburgh Pirates,PIT,Pennsylvania
San Diego Padres,SD,California
Seattle Mariners,SEA,Washington
San Francisco Giants,SF,California
St. Louis Cardinals,STL,Missouri
Tampa Bay Rays,TB,Florida
Texas Rangers,TEX,Texas
Toronto Blue Jays,TOR,Toronto
Washington Nationals,WSH,Washington DC
